method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6
kmeans 3 cat,1,28,0,16,5.321428571428571,4.018969569692759,4.0,0,8,2.892857142857143,2.199987974955111,2.5,0,3,0.39285714285714285,0.7373267889143821,0.0,0,7,3.3214285714285716,1.7438478405541267,3.0,0,12,3.25,2.9767618499152917,2.5,0,4,1.1071428571428572,1.3968028497458764,0.0,0,1,0.03571428571428571,0.18898223650461363,0.0,0,7,2.357142857142857,2.1119463677653982,2.0,36,101,65.64285714285714,15.283043825476275,62.5,1.0,4.0,2.4642857142857144,0.7926581093427849,2.0,3.0,8.0,5.392857142857143,1.4230714230607946,5.0,4.2,8.1,5.978571428571428,1.0360563200968846,6.15,0.28489483747609945,0.15487571701720843,0.021032504780114723,0.1778202676864245,0.1739961759082218,0.0592734225621415,0.0019120458891013386,0.12619502868068835,1.0,6.0,3.9642857142857144,1.3466595945123117,4.0,1,2,8,8,4,5
kmeans 3 cat,2,20,1,10,3.75,2.4894514297436356,3.5,0,5,1.95,1.190974832912761,2.0,0,4,0.95,1.3168942730211068,0.0,0,16,5.2,3.928304843996762,4.0,0,7,1.65,2.058998223459779,1.0,0,11,4.8,2.687201635824701,4.0,0,1,0.05,0.22360679774997894,0.0,4,19,8.4,3.5153797429071734,7.5,45,97,81.7,13.27086242388505,84.5,2.0,4.0,3.0,0.5619514869490163,3.0,5.0,9.0,7.25,1.292692009559488,7.0,4.75,9.3,7.709999999999999,1.1419742830545243,8.15,0.14018691588785046,0.07289719626168224,0.03551401869158878,0.19439252336448598,0.0616822429906542,0.17943925233644858,0.001869158878504673,0.31401869158878504,3.0,6.0,5.25,0.7863975156570492,5.0,0,0,1,1,10,8
agg emb,0,15,0,11,3.6666666666666665,3.062834043978286,2.0,0,2,0.4,0.7367883976130074,0.0,0,1,0.2,0.4140393356054126,0.0,0,0,0.0,0.0,0.0,0,9,1.5333333333333334,2.722044049886741,0.0,0,2,0.6666666666666666,0.8997354108424375,0.0,0,0,0.0,0.0,0.0,0,3,0.26666666666666666,0.7988086367179804,0.0,37,88,60.06666666666667,15.695616615870208,60.0,1.0,3.0,1.8,0.5606119105813882,2.0,1.0,5.0,3.0,1.3093073414159542,3.0,2.85,6.4,4.503333333333334,1.0764469774392493,4.7,0.5445544554455445,0.05940594059405941,0.029702970297029705,0.0,0.22772277227722773,0.099009900990099,0.0,0.039603960396039604,1.0,6.0,3.1333333333333333,1.8073922282301278,3.0,4,3,1,2,4,1
agg emb,1,30,0,16,3.433333333333333,3.058998408689978,3.0,0,8,2.1,1.953776184548871,2.0,0,3,0.5666666666666667,0.8976341829703132,0.0,0,11,4.2,2.5515377378330517,4.0,0,7,0.4666666666666667,1.3829836145670416,0.0,0,11,2.7666666666666666,2.944115502481861,2.0,0,1,0.06666666666666667,0.2537081317024624,0.0,0,12,3.6666666666666665,3.8446858383231133,3.0,17,97,65.1,18.977936372680706,62.5,1.0,3.0,2.5,0.6297235299224025,3.0,1.0,8.0,5.166666666666667,1.7237355852380873,5.0,2.85,8.7,5.838333333333332,1.6617234164095052,5.825,0.1988416988416988,0.12162162162162161,0.032818532818532815,0.24324324324324323,0.027027027027027025,0.16023166023166022,0.0038610038610038602,0.21235521235521232,1.0,6.0,4.066666666666666,1.5959719411009736,4.0,3,3,3,7,8,6
agg emb,2,39,0,14,4.3076923076923075,3.4424122979605154,4.0,0,8,2.282051282051282,1.7614096918559587,2.0,0,4,0.48717948717948717,0.9966204702259601,0.0,0,16,3.4358974358974357,2.845077667933197,3.0,1,12,3.3076923076923075,2.504247404057504,3.0,0,8,1.564102564102564,2.0234789192309863,1.0,0,0,0.0,0.0,0.0,0,19,3.769230769230769,4.022708818050072,3.0,36,101,68.38461538461539,16.276582119906895,67.0,1.0,4.0,2.641025641025641,0.8106910465827574,3.0,3.0,9.0,5.871794871794871,1.8235230098195718,5.0,4.05,9.3,6.355128205128204,1.4368640410994316,6.2,0.2248995983935743,0.11914323962516733,0.025435073627844713,0.179384203480589,0.17269076305220882,0.08165997322623829,0.0,0.19678714859437751,1.0,6.0,4.128205128205129,1.3607174419456505,4.0,1,3,10,9,8,8
agg 3 emb,0,15,0,11,3.6666666666666665,3.062834043978286,2.0,0,2,0.4,0.7367883976130074,0.0,0,1,0.2,0.4140393356054126,0.0,0,0,0.0,0.0,0.0,0,9,1.5333333333333334,2.722044049886741,0.0,0,2,0.6666666666666666,0.8997354108424375,0.0,0,0,0.0,0.0,0.0,0,3,0.26666666666666666,0.7988086367179804,0.0,37,88,60.06666666666667,15.695616615870208,60.0,1.0,3.0,1.8,0.5606119105813882,2.0,1.0,5.0,3.0,1.3093073414159542,3.0,2.85,6.4,4.503333333333334,1.0764469774392493,4.7,0.5445544554455445,0.05940594059405941,0.029702970297029705,0.0,0.22772277227722773,0.099009900990099,0.0,0.039603960396039604,1.0,6.0,3.1333333333333333,1.8073922282301278,3.0,4,3,1,2,4,1
agg 3 emb,1,30,0,16,3.433333333333333,3.058998408689978,3.0,0,8,2.1,1.953776184548871,2.0,0,3,0.5666666666666667,0.8976341829703132,0.0,0,11,4.2,2.5515377378330517,4.0,0,7,0.4666666666666667,1.3829836145670416,0.0,0,11,2.7666666666666666,2.944115502481861,2.0,0,1,0.06666666666666667,0.2537081317024624,0.0,0,12,3.6666666666666665,3.8446858383231133,3.0,17,97,65.1,18.977936372680706,62.5,1.0,3.0,2.5,0.6297235299224025,3.0,1.0,8.0,5.166666666666667,1.7237355852380873,5.0,2.85,8.7,5.838333333333332,1.6617234164095052,5.825,0.1988416988416988,0.12162162162162161,0.032818532818532815,0.24324324324324323,0.027027027027027025,0.16023166023166022,0.0038610038610038602,0.21235521235521232,1.0,6.0,4.066666666666666,1.5959719411009736,4.0,3,3,3,7,8,6
agg 3 emb,2,39,0,14,4.3076923076923075,3.4424122979605154,4.0,0,8,2.282051282051282,1.7614096918559587,2.0,0,4,0.48717948717948717,0.9966204702259601,0.0,0,16,3.4358974358974357,2.845077667933197,3.0,1,12,3.3076923076923075,2.504247404057504,3.0,0,8,1.564102564102564,2.0234789192309863,1.0,0,0,0.0,0.0,0.0,0,19,3.769230769230769,4.022708818050072,3.0,36,101,68.38461538461539,16.276582119906895,67.0,1.0,4.0,2.641025641025641,0.8106910465827574,3.0,3.0,9.0,5.871794871794871,1.8235230098195718,5.0,4.05,9.3,6.355128205128204,1.4368640410994316,6.2,0.2248995983935743,0.11914323962516733,0.025435073627844713,0.179384203480589,0.17269076305220882,0.08165997322623829,0.0,0.19678714859437751,1.0,6.0,4.128205128205129,1.3607174419456505,4.0,1,3,10,9,8,8
agg cat,0,38,0,16,4.2631578947368425,3.9707321846862897,3.0,0,8,2.6578947368421053,2.0830891274605903,2.0,0,3,0.34210526315789475,0.7081119086039197,0.0,0,7,3.3947368421052633,2.0206966110084688,3.0,0,12,3.1315789473684212,3.015016943447339,2.5,0,5,1.236842105263158,1.4224875532883632,1.0,0,1,0.02631578947368421,0.16222142113076254,0.0,0,9,2.473684210526316,2.5012088115955877,2.0,36,101,66.1842105263158,14.331698496421094,64.0,1.0,4.0,2.4210526315789473,0.7215441005558437,2.0,3.0,9.0,5.2631578947368425,1.501066477205471,5.0,4.2,8.9,5.940789473684209,1.0780271810717228,6.074999999999999,0.24324324324324326,0.15165165165165165,0.01951951951951952,0.19369369369369369,0.17867867867867868,0.07057057057057058,0.0015015015015015013,0.14114114114114115,1.0,6.0,4.184210526315789,1.2488970952327483,4.0,1,1,9,14,5,8
agg cat,1,17,1,10,4.176470588235294,2.4554860546755064,4.0,0,5,2.1176470588235294,1.1663164740528442,2.0,0,4,1.0,1.3693063937629153,0.0,0,16,5.294117647058823,4.268558097917155,4.0,0,7,1.7058823529411764,2.0846074535255115,2.0,0,11,5.294117647058823,2.5924097352259188,5.0,0,1,0.058823529411764705,0.242535625036333,0.0,4,19,8.647058823529411,3.7239289814419836,8.0,60,97,83.70588235294117,10.83261686921928,86.0,2.0,4.0,3.0588235294117645,0.4287464628562721,3.0,5.0,9.0,7.352941176470588,1.1694644324747672,7.0,6.0,9.3,7.861764705882353,0.9203480000393713,8.15,0.14760914760914762,0.07484407484407483,0.03534303534303534,0.1871101871101871,0.06029106029106028,0.1871101871101871,0.0020790020790020787,0.3056133056133056,3.0,6.0,5.235294117647059,0.7524469885568253,5.0,0,0,1,0,10,6
agg cat,2,29,0,11,3.206896551724138,2.4404231240976513,2.0,0,4,0.7241379310344828,1.0655833990333965,0.0,0,2,0.3103448275862069,0.6037648712076858,0.0,0,5,1.4137931034482758,1.5927792730971488,1.0,0,4,0.6206896551724138,0.978840170210507,0.0,0,2,0.5862068965517241,0.9070061182385526,0.0,0,0,0.0,0.0,0.0,0,4,0.6896551724137931,1.198315730987875,0.0,17,88,54.58620689655172,14.819189397002674,54.0,1.0,4.0,2.103448275862069,0.772048646977956,2.0,1.0,7.0,3.586206896551724,1.5472842886653826,4.0,2.85,6.55,4.522413793103448,1.1201551396774523,4.55,0.4246575342465754,0.09589041095890412,0.04109589041095891,0.18721461187214614,0.08219178082191782,0.0776255707762557,0.0,0.09132420091324202,1.0,6.0,2.8275862068965516,1.5599671589318194,2.0,7,8,4,4,5,1
agg 3 cat,0,38,0,16,4.2631578947368425,3.9707321846862897,3.0,0,8,2.6578947368421053,2.0830891274605903,2.0,0,3,0.34210526315789475,0.7081119086039197,0.0,0,7,3.3947368421052633,2.0206966110084688,3.0,0,12,3.1315789473684212,3.015016943447339,2.5,0,5,1.236842105263158,1.4224875532883632,1.0,0,1,0.02631578947368421,0.16222142113076254,0.0,0,9,2.473684210526316,2.5012088115955877,2.0,36,101,66.1842105263158,14.331698496421094,64.0,1.0,4.0,2.4210526315789473,0.7215441005558437,2.0,3.0,9.0,5.2631578947368425,1.501066477205471,5.0,4.2,8.9,5.940789473684209,1.0780271810717228,6.074999999999999,0.24324324324324326,0.15165165165165165,0.01951951951951952,0.19369369369369369,0.17867867867867868,0.07057057057057058,0.0015015015015015013,0.14114114114114115,1.0,6.0,4.184210526315789,1.2488970952327483,4.0,1,1,9,14,5,8
agg 3 cat,1,17,1,10,4.176470588235294,2.4554860546755064,4.0,0,5,2.1176470588235294,1.1663164740528442,2.0,0,4,1.0,1.3693063937629153,0.0,0,16,5.294117647058823,4.268558097917155,4.0,0,7,1.7058823529411764,2.0846074535255115,2.0,0,11,5.294117647058823,2.5924097352259188,5.0,0,1,0.058823529411764705,0.242535625036333,0.0,4,19,8.647058823529411,3.7239289814419836,8.0,60,97,83.70588235294117,10.83261686921928,86.0,2.0,4.0,3.0588235294117645,0.4287464628562721,3.0,5.0,9.0,7.352941176470588,1.1694644324747672,7.0,6.0,9.3,7.861764705882353,0.9203480000393713,8.15,0.14760914760914762,0.07484407484407483,0.03534303534303534,0.1871101871101871,0.06029106029106028,0.1871101871101871,0.0020790020790020787,0.3056133056133056,3.0,6.0,5.235294117647059,0.7524469885568253,5.0,0,0,1,0,10,6
agg 3 cat,2,29,0,11,3.206896551724138,2.4404231240976513,2.0,0,4,0.7241379310344828,1.0655833990333965,0.0,0,2,0.3103448275862069,0.6037648712076858,0.0,0,5,1.4137931034482758,1.5927792730971488,1.0,0,4,0.6206896551724138,0.978840170210507,0.0,0,2,0.5862068965517241,0.9070061182385526,0.0,0,0,0.0,0.0,0.0,0,4,0.6896551724137931,1.198315730987875,0.0,17,88,54.58620689655172,14.819189397002674,54.0,1.0,4.0,2.103448275862069,0.772048646977956,2.0,1.0,7.0,3.586206896551724,1.5472842886653826,4.0,2.85,6.55,4.522413793103448,1.1201551396774523,4.55,0.4246575342465754,0.09589041095890412,0.04109589041095891,0.18721461187214614,0.08219178082191782,0.0776255707762557,0.0,0.09132420091324202,1.0,6.0,2.8275862068965516,1.5599671589318194,2.0,7,8,4,4,5,1
gmm emb,0,41,0,14,4.317073170731708,3.282065084594179,4.0,0,8,2.1951219512195124,1.8058171584510148,2.0,0,4,0.5365853658536586,0.9771786166205684,0.0,0,16,3.1707317073170733,2.906049199724518,3.0,1,12,3.4634146341463414,2.589377926989509,3.0,0,8,1.5121951219512195,1.9509222334515566,1.0,0,0,0.0,0.0,0.0,0,19,3.097560975609756,3.871723634563684,2.0,36,101,67.92682926829268,15.98028510994475,64.0,1.0,4.0,2.5853658536585367,0.8054691103977099,2.0,3.0,9.0,5.7317073170731705,1.8306336368031484,5.0,4.05,9.3,6.262195121951219,1.3996330093905367,6.2,0.23600000000000007,0.12000000000000004,0.02933333333333334,0.17333333333333337,0.18933333333333335,0.08266666666666668,0.0,0.16933333333333336,1.0,6.0,4.121951219512195,1.3452717560258878,4.0,1,3,11,9,9,8
gmm emb,1,30,0,16,3.2666666666666666,3.161550616208853,3.0,0,8,2.2,1.8270005567822796,2.0,0,3,0.5666666666666667,0.8976341829703132,0.0,0,11,4.233333333333333,2.595531084228313,4.0,0,7,0.5333333333333333,1.4319827906241325,0.0,0,11,3.0,2.81620923987523,2.0,0,1,0.06666666666666667,0.2537081317024624,0.0,0,12,4.433333333333334,3.838851600309056,4.0,17,97,67.93333333333334,18.79826355394769,69.5,2.0,3.0,2.6333333333333333,0.4901325178535609,3.0,3.0,8.0,5.433333333333334,1.4064710873459965,5.5,2.85,8.7,6.113333333333332,1.4942956669380678,6.05,0.17850637522768673,0.1202185792349727,0.03096539162112933,0.23132969034608383,0.029143897996357016,0.1639344262295082,0.003642987249544627,0.24225865209471772,1.0,6.0,4.366666666666666,1.4015590662158888,5.0,1,3,3,7,9,7
gmm emb,2,13,0,11,3.923076923076923,3.2522181779399544,2.0,0,2,0.15384615384615385,0.5547001962252291,0.0,0,0,0.0,0.0,0.0,0,1,0.23076923076923078,0.4385290096535146,0.0,0,6,0.6153846153846154,1.6602440351979155,0.0,0,2,0.15384615384615385,0.5547001962252291,0.0,0,0,0.0,0.0,0.0,0,1,0.07692307692307693,0.2773500981126146,0.0,37,79,53.69230769230769,13.034471063201448,52.0,1.0,2.0,1.5384615384615385,0.5188745216627707,2.0,1.0,5.0,2.3846153846153846,1.2608503439122305,2.0,2.85,5.0,3.8769230769230774,0.8728820521256448,3.4,0.7611940298507461,0.029850746268656716,0.0,0.04477611940298507,0.11940298507462686,0.029850746268656716,0.0,0.014925373134328358,1.0,5.0,2.3076923076923075,1.6012815380508714,2.0,6,3,0,2,2,0
gmm 3 emb,0,41,0,14,4.317073170731708,3.282065084594179,4.0,0,8,2.1951219512195124,1.8058171584510148,2.0,0,4,0.5365853658536586,0.9771786166205684,0.0,0,16,3.1707317073170733,2.906049199724518,3.0,1,12,3.4634146341463414,2.589377926989509,3.0,0,8,1.5121951219512195,1.9509222334515566,1.0,0,0,0.0,0.0,0.0,0,19,3.097560975609756,3.871723634563684,2.0,36,101,67.92682926829268,15.98028510994475,64.0,1.0,4.0,2.5853658536585367,0.8054691103977099,2.0,3.0,9.0,5.7317073170731705,1.8306336368031484,5.0,4.05,9.3,6.262195121951219,1.3996330093905367,6.2,0.23600000000000007,0.12000000000000004,0.02933333333333334,0.17333333333333337,0.18933333333333335,0.08266666666666668,0.0,0.16933333333333336,1.0,6.0,4.121951219512195,1.3452717560258878,4.0,1,3,11,9,9,8
gmm 3 emb,1,30,0,16,3.2666666666666666,3.161550616208853,3.0,0,8,2.2,1.8270005567822796,2.0,0,3,0.5666666666666667,0.8976341829703132,0.0,0,11,4.233333333333333,2.595531084228313,4.0,0,7,0.5333333333333333,1.4319827906241325,0.0,0,11,3.0,2.81620923987523,2.0,0,1,0.06666666666666667,0.2537081317024624,0.0,0,12,4.433333333333334,3.838851600309056,4.0,17,97,67.93333333333334,18.79826355394769,69.5,2.0,3.0,2.6333333333333333,0.4901325178535609,3.0,3.0,8.0,5.433333333333334,1.4064710873459965,5.5,2.85,8.7,6.113333333333332,1.4942956669380678,6.05,0.17850637522768673,0.1202185792349727,0.03096539162112933,0.23132969034608383,0.029143897996357016,0.1639344262295082,0.003642987249544627,0.24225865209471772,1.0,6.0,4.366666666666666,1.4015590662158888,5.0,1,3,3,7,9,7
